Cumulative  Test positive,Cumulative  tests performed,Date,Discharged,Expired,Admitted,Region,,,
845,2945,2020-04-02,6,11,384,Punjab,,,
743,6926,2020-04-02,58,9,387,Sindh,,,
276,1814,2020-04-02,19,8,84,KP,,,
169,2049,2020-04-02,17,1,125,Balochistan,,,
9,249,2020-04-02,0,0,9,AJK,,,
187,797,2020-04-02,4,2,12,GB,,,
68,2395,2020-04-03,3,0,18,ICT,,,
920,15134,2020-04-03,6,11,456,Punjab,,,
783,7504,2020-04-03,65,11,410,Sindh,,,
311,1938,2020-04-03,30,9,92,KP,,,
169,2171,2020-04-03,17,1,125,Balochistan,,,
9,322,2020-04-03,0,0,9,AJK,,,
190,844,2020-04-03,5,3,12,GB,,,
11,343,2020-04-04,0,0,11,AJK,,,
175,2401,2020-04-04,17,1,132,Balochistan,,,
193,860,2020-04-04,9,3,12,GB,,,
75,2569,2020-04-04,3,0,14,ICT,,,
343,1624,2020-04-04,30,11,92,KP,,,
1072,16508,2020-04-04,6,11,506,Punjab,,,
839,8625,2020-04-04,65,14,391,Sindh,,,
12,385,2020-04-05,1,0,11,AJK,,,
185,2513,2020-04-05,17,1,133,Balochistan,,,
206,975,2020-04-05,9,3,12,GB,,,
78,2744,2020-04-05,3,0,10,ICT,,,
372,1769,2020-04-05,30,14,95,KP,,,
1163,17653,2020-04-05,25,12,526,Punjab,,,
864,8846,2020-04-05,85,15,390,Sindh,,,
15,400,2020-04-06,1,0,14,AJK,,,
191,2777,2020-04-06,30,1,112,Balochistan,,,
210,998,2020-04-06,13,3,12,GB,,,
82,2871,2020-04-06,3,0,11,ICT,,,
405,1974,2020-04-06,62,16,120,KP,,,
1493,17724,2020-04-06,25,15,653,Punjab,,,
881,9131,2020-04-06,123,15,363,Sindh,,,
18,484,2020-04-07,1,0,17,AJK,,,
202,2998,2020-04-07,63,1,87,Balochistan,,,
211,1015,2020-04-07,15,3,14,GB,,,
83,2921,2020-04-07,3,1,17,ICT,,,
500,2103,2020-04-07,69,17,138,KP,,,
1918,20073,2020-04-07,25,15,751,Punjab,,,
932,9589,2020-04-07,253,17,287,Sindh,,,
19,534,2020-04-08,1,0,18,AJK,,,
206,3091,2020-04-08,75,2,77,Balochistan,,,
212,1127,2020-04-08,15,3,14,GB,,,
92,3096,2020-04-08,3,1,17,ICT,,,
527,2262,2020-04-08,70,18,197,KP,,,
2030,21826,2020-04-08,34,16,713,Punjab,,,
986,10223,2020-04-08,269,18,303,Sindh,,,
28,581,2020-04-09,1,0,27,AJK,,,
212,3216,2020-04-09,76,2,77,Balochistan,,,
213,1143,2020-04-09,96,3,14,GB,,,
102,3233,2020-04-09,10,1,11,ICT,,,
560,2662,2020-04-09,74,20,168,KP,,,
2171,23080,2020-04-09,35,17,752,Punjab,,,
1036,10981,2020-04-09,280,20,354,Sindh,,,
33,631,2020-04-10,1,0,32,AJK,,,
219,3405,2020-04-10,89,1,70,Balochistan,,,
215,1266,2020-04-10,111,3,14,GB,,,
107,3375,2020-04-10,10,1,18,ICT,,,
620,2871,2020-04-10,128,22,201,KP,,,
2279,31535,2020-04-10,39,18,745,Punjab,,,
1128,11623,2020-04-10,349,21,322,Sindh,,,
34,745,2020-04-11,1,0,33,AJK,,,
220,3694,2020-04-11,95,1,68,Balochistan,,,
215,1334,2020-04-11,125,3,17,GB,,,
113,3480,2020-04-11,13,1,15,ICT,,,
656,3046,2020-04-11,131,25,201,KP,,,
2336,33328,2020-04-11,39,19,764,Punjab,,,
1214,12209,2020-04-11,358,22,313,Sindh,,,
35,813,2020-04-12,1,0,34,AJK,,,
228,3812,2020-04-12,95,2,62,Balochistan,,,
216,1408,2020-04-12,146,3,9,GB,,,
119,3570,2020-04-12,13,1,17,ICT,,,
697,3259,2020-04-12,142,31,210,KP,,,
2425,36199,2020-04-12,258,21,765,Punjab,,,
1318,12740,2020-04-12,371,28,343,Sindh,,,
40,910,2020-04-13,2,0,38,AJK,,,
230,3906,2020-04-13,123,2,40,Balochistan,,,
224,1476,2020-04-13,149,3,9,GB,,,
131,3836,2020-04-13,15,1,24,ICT,,,
744,3478,2020-04-13,145,34,211,KP,,,
2594,38199,2020-04-13,272,23,832,Punjab,,,
1411,13309,2020-04-13,389,30,347,Sindh,,,
43,992,2020-04-14,4,0,39,AJK,,,
231,4012,2020-04-14,124,2,34,Balochistan,,,
